Date,avg_wind_speed_m_s,Mean viral gene copies/L,smoothed,zscore,Mean viral gene copies/ML
2022-01-01,10.453287,27786028.8571429,27786028.8571429,4.2763209236145,27.7860288571429
2022-01-02,8.324651,30100281.5714286,29907363.505102,4.70544220558765,30.1002815714286
2022-01-03,9.073572,32414534.2857143,31835780.0867347,5.1345634875608,32.4145342857143
2022-01-04,8.828655,34728787,33571278.6020408,5.56368476953395,34.728787
2022-01-05,6.986742,35692613.25,35113859.0510204,5.74240265693072,35.69261325
2022-01-06,6.323652,36656439.5,37617556.8265306,5.92112054432748,36.6564395
2022-01-07,9.865933,37620265.75,39640774.9285714,6.09983843172425,37.62026575
2022-01-08,8.807851,38584092,41228417.7857143,6.27855631912102,38.584092
2022-01-09,6.330528,47626166,42573403.4642857,7.9551866899635,47.626166
2022-01-10,11.52002,46577061,43585669.3571429,7.76065595451467,46.577061
2022-01-11,10.972652,45842287,44265215.4642857,7.62441017681971,45.842287
2022-01-12,6.9877834,45107513,44612041.7857143,7.48816439912475,45.107513
2022-01-13,8.52657,43742300.75,43472112.9285714,7.23501934401945,43.74230075
2022-01-14,6.2600846,42377088.5,42367823.5,6.98187428891414,42.3770885
2022-01-15,6.7822394,41011876.25,41126245.6428571,6.72872923380885,41.01187625
2022-01-16,9.1289,39646664,39747379.3571429,6.47558417870355,39.646664
2022-01-17,8.156736,38847035,38354437.7142857,6.32731263538213,38.847035
2022-01-18,7.5748553,37151242,36947420.7142857,6.01286950580123,37.151242
2022-01-19,8.022921,35455449,35526328.3571429,5.69842637622033,35.455449
2022-01-20,7.814265,33991709.25,34091160.6428571,5.42701181802723,33.99170925
2022-01-21,9.053743,32527969.5,32484511.3571429,5.15559725983412,32.5279695
2022-01-22,12.269179,31064229.75,31118331.1428571,4.88418270164101,31.06422975
2022-01-23,10.895247,29600490,29992620,4.6127681434479,29.60049
2022-01-24,10.732815,27600490,28882336.7642857,4.24191730306715,27.60049
2022-01-25,9.939425,27587980.5,27787481.4357143,4.23959772377328,27.5879805
2022-01-26,7.7767124,27575471,26708054.0142857,4.2372781444794,27.575471
2022-01-27,10.445526,26219726.6,25644054.5,3.98588866943865,26.2197266
2022-01-28,10.956622,24863982.2,24672091.5,3.7344991943979,24.8639822
2022-01-29,9.730966,23508237.8,23620382.7857143,3.48310971935715,23.5082378
2022-01-30,9.803259,22152493.4,22488928.3571429,3.2317202443164,22.1524934
2022-01-31,8.162684,20796749,21418463.0714286,2.98033076927565,20.796749
2022-02-01,13.052495,20226019.5,20408986.9285714,2.87450301192311,20.2260195
2022-02-02,11.532291,19655290,19460499.9285714,2.76867525457056,19.65529
2022-02-03,9.747825,18726469.6,18573002.0714286,2.59644834161917,18.7264696
2022-02-04,9.3117485,17797649.2,17746493.3571429,2.42422142866777,17.7976492
2022-02-05,11.022812,16868828.8,16987051.4285714,2.25199451571638,16.8688288
2022-02-06,9.961951,15940008.4,16294676.2857143,2.07976760276499,15.9400084
2022-02-07,12.001006,15011188,15582707.1285714,1.90754068981359,15.011188
2022-02-08,10.002776,14909926,14851143.9571429,1.88876414091427,14.909926
2022-02-09,10.973308,14808664,14099986.7714286,1.86998759201496,14.808664
2022-02-10,11.737826,13742685.5,13329235.5714286,1.67232808073855,13.7426855
2022-02-11,8.570188,12676707,12611509.2857143,1.47466856946214,12.676707
2022-02-12,8.491024,11610728.5,12008514.4285714,1.27700905818573,11.6107285
2022-02-13,11.840797,10544750,11226038.4285714,1.07934954690932,10.54475
2022-02-14,7.3302274,9987104,10540237.3571429,0.975947803041841,9.987104
2022-02-15,19.682043,10688962,9951111.21428572,1.10609011760582,10.688962
2022-02-16,12.125779,9331332,9458660,0.854351004392757,9.331332
2022-02-17,10.989616,8942078,9062883.71428572,0.782173417881972,8.942078
2022-02-18,10.221462,8552824,8479027.71428572,0.709995831371187,8.552824
2022-02-19,9.030519,8163570,7675416.64285714,0.637818244860402,8.16357
2022-02-20,7.9983883,7774316,6946263.07142857,0.565640658349617,7.774316
2022-02-21,15.719228,5900112,6207649.42857143,0.218115594127132,5.900112
2022-02-22,22.300583,5063684.5,5459575.71428572,0.0630206734808448,5.0636845
2022-02-23,22.484879,4227257,4702041.92857143,-0.0920742471654419,4.227257
2022-02-24,13.660316,3771782.5,3935048.07142857,-0.176530797713944,3.7717825
2022-02-25,11.1469,3316308,3413234.78571429,-0.260987348262446,3.316308
2022-02-26,10.396813,2860833.5,2989214.42857143,-0.345443898810948,2.8608335
2022-02-27,9.901002,2405359,2641390.28571429,-0.42990044935945,2.405359
2022-02-28,9.656862,2247419,2335621.5,-0.459186540224318,2.247419
2022-03-01,8.666556,2095542,2071908.07142857,-0.487348396766572,2.095542
2022-03-02,7.606544,1792488,1850250,-0.543542312056946,1.792488
2022-03-03,16.17542,1631401,1670647.28571429,-0.573411936719154,1.631401
2022-03-04,15.712592,1470314,1510739.57142857,-0.603281561381361,1.470314
2022-03-05,24.018263,1309227,1344643.57142857,-0.633151186043568,1.309227
2022-03-06,10.770097,1148140,1241245.94285714,-0.663020810705775,1.14814
2022-03-07,11.551491,1128065,1180265.68571429,-0.666743226016097,1.128065
2022-03-08,10.233381,932870,1161702.8,-0.702937340910158,0.93287
2022-03-09,12.139585,1068704.6,1185557.28571429,-0.677750153128766,1.0687046
2022-03-10,12.7222595,1204539.2,1251829.14285714,-0.652562965347374,1.2045392
2022-03-11,10.423278,1340373.8,1261286.85714286,-0.627375777565983,1.3403738
2022-03-12,10.091878,1476208.4,1362897.71428571,-0.602188589784591,1.4762084
2022-03-13,10.399305,1612043,1453121.05714286,-0.577001402003199,1.612043
2022-03-14,10.407489,1194269,1531620.24285714,-0.654467321497814,1.194269
2022-03-15,7.3853626,1644146,1598395.27142857,-0.571048689738827,1.644146
2022-03-16,10.294444,1700268,1653446.14285714,-0.560642244306903,1.700268
2022-03-17,10.055562,1754033.5,1696772.85714286,-0.550672753877657,1.7540335
2022-03-18,9.073787,1807799,1827123.28571429,-0.540703263448411,1.807799
2022-03-19,10.583007,1861564.5,1861338.42857143,-0.530733773019166,1.8615645
2022-03-20,13.819664,1915330,1910068.71428571,-0.52076428258992,1.91533
2022-03-21,9.213953,2106722,1947790.27142857,-0.485275340568843,2.106722
2022-03-22,7.7025285,1883652,1974503.1,-0.526638189050711,1.883652
2022-03-23,10.449,2041380,1990207.2,-0.497391408374923,2.04138
2022-03-24,9.561756,2018084.4,1994902.57142857,-0.50171100479351,2.0180844
2022-03-25,9.237756,1994788.8,1968928.28571429,-0.506030601212097,1.9947888
2022-03-26,8.688359,1971493.2,2014829.28571429,-0.510350197630684,1.9714932
2022-03-27,10.993801,1948197.6,2060230.74285714,-0.514669794049271,1.9481976
2022-03-28,23.579231,1924902,2130993.17142857,-0.518989390467858,1.924902
2022-03-29,11.07232,2204959,2227116.57142857,-0.467059703565601,2.204959
2022-03-30,8.934131,2359190.2,2348600.94285714,-0.438461318499135,2.3591902
2022-03-31,15.1704855,2513421.4,2495446.28571429,-0.409862933432669,2.5134214
2022-04-01,8.218111,2667652.6,2549679.42857143,-0.381264548366203,2.6676526
2022-04-02,7.909359,2821883.8,2593766.85714286,-0.352666163299737,2.8218838
2022-04-03,12.328923,2976115,2556096.54285714,-0.324067778233271,2.976115
2022-04-04,10.554336,2304534,2502924.66428571,-0.448595967350144,2.304534
2022-04-05,7.8153815,2513571,2434251.22142857,-0.409835193789809,2.513571
2022-04-06,8.144864,2095498,2350076.21428571,-0.48735655548506,2.095498
2022-04-07,8.616471,2141218.25,2250399.64285714,-0.478878858917601,2.14121825
2022-04-08,10.838519,2186938.5,2260149.92857143,-0.470401162350142,2.1869385
2022-04-09,16.159878,2232658.75,2240171.21428571,-0.461923465782683,2.23265875
2022-04-10,16.784126,2278379,2294860.78571429,-0.453445769215224,2.278379
2022-04-11,18.980978,2372786,2356795.78571429,-0.435940311571311,2.372786
2022-04-12,17.936518,2373720,2425976.21428571,-0.435767124228853,2.37372
2022-04-13,11.984443,2478325,2502402.07142857,-0.416370698149839,2.478325
2022-04-14,9.956409,2574763.25,2586073.35714286,-0.398488595121164,2.57476325
2022-04-15,10.833576,2671201.5,2687437.92857143,-0.380606492092489,2.6712015
2022-04-16,12.968338,2767639.75,2795669.19047619,-0.362724389063815,2.76763975
2022-04-17,14.670573,2864078,2895957,-0.34484228603514,2.864078
2022-04-18,10.304205,3082338,2989468.03571429,-0.304371333824388,3.082338
2022-04-19,10.662617,3131338.83333333,3076202.29761905,-0.295285333713876,3.13133883333333
2022-04-20,13.370114,3180339.66666667,3156159.78571429,-0.286199333603364,3.18033966666667
2022-04-21,13.343201,3229340.5,3229340.5,-0.277113333492852,3.2293405
2022-04-22,19.76693,3278341.33333333,3206487.92857143,-0.26802733338234,3.27834133333333
2022-04-23,12.02557,3327342.16666667,3218048.16666667,-0.258941333271828,3.32734216666667
2022-04-24,10.894715,3376343,3264021.21428571,-0.249855333161316,3.376343
2022-04-25,11.118481,2922370,3320506.53571429,-0.334033467441403,2.92237
2022-04-26,10.10379,3212260.5,3387504.13095238,-0.280280399669704,3.2122605
2022-04-27,14.54,3502151,3465014,-0.226527331898005,3.502151
2022-04-28,10.913447,3624737.75,3553036.14285714,-0.203796632269483,3.62473775
2022-04-29,10.13074,3747324.5,3744777,-0.18106593264096,3.7473245
2022-04-30,8.814911,3869911.25,3955780.07142857,-0.158335233012437,3.86991125
2022-05-01,16.498646,3992498,4114001.21428571,-0.135604533383915,3.992498
2022-05-02,11.119083,4264556,4262499.60714286,-0.085158064417761,4.264556
2022-05-03,12.7352495,4689282,4401275.25,-0.00640306740198286,4.689282
2022-05-04,8.954953,4609699,4530328.14285714,-0.0211597786169936,4.609699
2022-05-05,9.707004,4664226.5,4649658.28571429,-0.0110489940175629,4.6642265
2022-05-06,8.163819,4718754,4785298,-0.000938209418132063,4.718754
2022-05-07,12.844325,4773281.5,4928141.14285714,0.00917257518129873,4.7732815
2022-05-08,17.55989,4827809,5030234.28571429,0.0192833597807295,4.827809
2022-05-09,15.536256,5214034,5155059.78571429,0.0908992926937579,5.214034
2022-05-10,14.448342,5689184,5302617.64285714,0.179004181097216,5.689184
2022-05-11,14.118778,5324351,5472907.85714286,0.1113548687729,5.324351
2022-05-12,14.210668,5538005,5627504.92857143,0.150971751498255,5.538005
2022-05-13,8.979465,5751659,5719023.5,0.190588634223609,5.751659
2022-05-14,8.535954,5965313,5726957.5,0.230205516948964,5.965313
2022-05-15,10.285916,5909988.5,5806007.41428571,0.219946948289642,5.9099885
2022-05-16,11.814675,5854664,5873532.24285714,0.209688379630319,5.854664
2022-05-17,12.725226,5744722,5929531.98571429,0.189302338083749,5.744722
2022-05-18,11.684625,5877700.4,5974006.64285714,0.213959913779993,5.8777004
2022-05-19,12.470391,6010678.8,6045381.71428572,0.238617489476237,6.0106788
2022-05-20,20.152117,6143657.2,6153465.28571429,0.263275065172481,6.1436572
2022-05-21,14.469803,6276635.6,6321488.57142857,0.287932640868725,6.2766356
2022-05-22,11.440124,6409614,6463822.8,0.312590216564969,6.409614
2022-05-23,9.956583,6611249,6588375.62857143,0.349978471165056,6.611249
2022-05-24,8.519706,6920885,6695147.05714286,0.407392856571123,6.920885
2022-05-25,9.365939,6874040,6784137.08571429,0.398706602762305,6.87404
2022-05-26,9.58247,6882548.6,6855345.71428572,0.400284313492537,6.8825486
2022-05-27,11.057556,6891057.2,6898964.85714286,0.401862024222769,6.8910572
2022-05-28,10.551913,6899565.8,6891884.57142857,0.403439734953001,6.8995658
2022-05-29,11.812173,6908074.4,6891610.42857143,0.405017445683233,6.9080744
2022-05-30,10.274292,6916583,6890234.77142857,0.406595156413464,6.916583
2022-05-31,12.378166,6871323,6887757.6,0.398202801895648,6.871323
2022-06-01,10.355603,6872121,6884178.91428571,0.39835077138096,6.872121
2022-06-02,10.202717,6872919,6879498.71428572,0.398498740866272,6.872919
2022-06-03,9.632379,6873717,6899781.28571429,0.398646710351584,6.873717
2022-06-04,8.927085,6874515,6918940.57142857,0.398794679836896,6.874515
2022-06-05,10.500008,6875313,6926420,0.398942649322208,6.875313
2022-06-06,11.362984,7058561,6938908.35714286,0.432921486721254,7.058561
2022-06-07,11.6652,7005438,6956405.64285714,0.42307113212448,7.005438
2022-06-08,9.947253,6924477,6978911.85714286,0.408058904680447,6.924477
2022-06-09,10.126695,6960337.5,7006427,0.414708352961184,6.9603375
2022-06-10,9.6749325,6996198,6973508.14285714,0.421357801241921,6.996198
2022-06-11,9.798966,7032058.5,6897483.57142857,0.428007249522658,7.0320585
2022-06-12,9.959964,7067919,6878742.42857143,0.434656697803395,7.067919
2022-06-13,10.907028,6828129,6833807.28571429,0.390193536295945,6.828129
2022-06-14,11.501514,6473266,6762678.14285714,0.324392915410927,6.473266
2022-06-15,9.5253935,6793289,6665355,0.383733314656512,6.793289
2022-06-16,10.284735,6645791.5,6541837.85714286,0.356383528741982,6.6457915
2022-06-17,11.175233,6498294,6436046.57142857,0.329033742827452,6.498294
2022-06-18,10.362304,6350796.5,6328770.28571429,0.301683956912922,6.3507965
2022-06-19,10.037719,6203299,6208485.42857143,0.274334170998391,6.203299
2022-06-20,9.759349,6087590,6104657.64285714,0.252878781053583,6.08759
2022-06-21,10.262331,5722332,6017286.92857143,0.185150662925686,5.722332
2022-06-22,12.41534,5951295,5946373.28571429,0.227606223408736,5.951295
2022-06-23,12.854278,5918997,5891916.71428572,0.221617353187427,5.918997
2022-06-24,12.052407,5886699,5908567.85714286,0.215628482966118,5.886699
2022-06-25,12.417553,5854401,5981012.14285714,0.209639612744809,5.854401
2022-06-26,8.879985,5822103,5991402.57142857,0.2036507425235,5.822103
2022-06-27,9.034997,6204148,6023965.39285714,0.274491597180133,6.204148
2022-06-28,8.142864,6229442,6078700.60714286,0.279181747758428,6.229442
2022-06-29,8.954489,6024028,6155608.21428572,0.241092770495442,6.024028
2022-06-30,9.818008,6146936.75,6254688.21428572,0.263883177109266,6.14693675
2022-07-01,9.539607,6269845.5,6363626.35714286,0.28667358372309,6.2698455
2022-07-02,9.774926,6392754.25,6517409.64285714,0.309463990336914,6.39275425
2022-07-03,9.28269,6515663,6670915.35714286,0.332254396950738,6.515663
2022-07-04,10.076314,6966715,6819690.17857143,0.415890903578448,6.966715
2022-07-05,10.425195,7305925,6963734.10714286,0.478789060361226,7.305925
2022-07-06,15.663269,7098568,7103047.14285714,0.44033980150681,7.098568
2022-07-07,10.559884,7188360.5,7237629.28571429,0.456989613549255,7.1883605
2022-07-08,9.662742,7278153,7373736.14285714,0.473639425591699,7.278153
2022-07-09,10.565583,7367945.5,7402684.14285714,0.490289237634143,7.3679455
2022-07-10,9.717616,7457738,7544460.28571429,0.506939049676588,7.457738
2022-07-11,10.532302,7919463,7789750.46428572,0.59255460181399,7.919463
2022-07-12,11.124694,7508561,8138554.67857143,0.516362925806923,7.508561
2022-07-13,12.144151,8091001,8590872.92857143,0.624362107542607,8.091001
2022-07-14,9.785239,8905391.75,9146705.21428572,0.775370854560513,8.90539175
2022-07-15,8.841931,9719782.5,9889410.92857143,0.92637960157842,9.7197825
2022-07-16,8.488018,10534173.25,10540171.6428571,1.07738834859633,10.53417325
2022-07-17,9.421414,11348564,11600081.3571429,1.22839709561423,11.348564
2022-07-18,9.2489395,13118403,12586618.8214286,1.55657023585855,13.118403
2022-07-19,9.776012,12063886,13499784.0357143,1.36103597803565,12.063886
2022-07-20,8.960616,15510369,14339577,2.00010153648964,15.510369
2022-07-21,9.210557,15811154,15105997.7142857,2.05587472150161,15.811154
2022-07-22,10.812344,16111939,15445453.8571429,2.11164790651357,16.111939
2022-07-23,10.25634,16412724,16557306.2857143,2.16742109152553,16.412724
2022-07-24,8.740439,16713509,16937265.8571429,2.2231942765375,16.713509
2022-07-25,9.137396,15494596,17331014.0357143,1.99717682133698,15.494596
2022-07-26,10.66411,19846853,17738550.8214286,2.80419590433849,19.846853
2022-07-27,11.814854,18170086,18159876.2142857,2.49328067880213,18.170086
2022-07-28,10.890937,18567391.25,18594990.2142857,2.56695117172723,18.56739125
2022-07-29,9.8354845,18964696.5,19210496.2142857,2.64062166465232,18.9646965
2022-07-30,9.543675,19362001.75,19347374.9285714,2.71429215757741,19.36200175
2022-07-31,8.707222,19759307,19208103.6428571,2.78796265050251,19.759307
2022-08-01,9.954447,19803138,19007360.9285714,2.79609003209487,19.803138
2022-08-02,12.168193,20805004,18745146.7857143,2.98186145611932,20.805004
2022-08-03,10.9336405,17195187,18421461.2142857,2.31250962208396,17.195187
2022-08-04,10.176379,17162192.25,18036304.2142857,2.30639155670113,17.16219225
2022-08-05,14.223706,17129197.5,17433794.5,2.3002734913183,17.1291975
2022-08-06,13.674183,17096202.75,16852574.7857143,2.29415542593548,17.09620275
2022-08-07,10.453408,17063208,16302619.0714286,2.28803736055265,17.063208
2022-08-08,9.434684,15585570,15631330.0714286,2.01404571351338,15.58557
2022-08-09,8.619896,16736466,14838707.7857143,2.22745108790881,16.736466
2022-08-10,8.763664,13345497,13924752.2142857,1.59867923623126,13.345497
2022-08-11,11.404175,12463169.25,12889463.3571429,1.43507324244188,12.46316925
2022-08-12,9.498834,11580841.5,12321341.7857143,1.2714672486525,11.5808415
2022-08-13,8.545797,10698513.75,11157441.2142857,1.10786125486312,10.69851375
2022-08-14,8.61843,9816186,10324278.3571429,0.944255261073743,9.816186
2022-08-15,8.335174,11608719,9592621.14285714,1.27663644580386,11.608719
2022-08-16,8.409146,8589162,8962469.57142857,0.716733820290065,8.589162
2022-08-17,8.643053,7513357,8433823.64285714,0.517252226122157,7.513357
2022-08-18,11.838303,7341568.75,8006683.35714286,0.485398317682137,7.34156875
2022-08-19,9.833679,7169780.5,7469927.92857143,0.453544409242117,7.1697805
2022-08-20,12.929858,6997992.25,7329864.5,0.421690500802098,6.99799225
2022-08-21,9.559057,6826204,7314505.07142857,0.389836592362078,6.826204
2022-08-22,10.03008,7851431,7291802.78571429,0.579939739627598,7.851431
2022-08-23,8.382218,7608718,7261757.64285714,0.534934579616931,7.608718
2022-08-24,9.38071,7405841,7224369.64285714,0.497316026644968,7.405841
2022-08-25,8.550166,7182652.75,7179638.78571429,0.455931251607163,7.18265275
2022-08-26,10.108606,6959464.5,6975893.92857143,0.414546476569358,6.9594645
2022-08-27,9.501262,6736276.25,6832100.21428572,0.373161701531553,6.73627625
2022-08-28,10.173313,6513088,6676476.92857143,0.331776926493748,6.513088
2022-08-29,12.275711,6425217,6530468.21428572,0.3154834093962,6.425217
2022-08-30,13.709095,6602162,6394074.07142857,0.348293510371786,6.602162
2022-08-31,10.568582,6316478,6267294.5,0.295320434630118,6.316478
2022-09-01,9.912993,6160591.75,6150129.5,0.266415161221966,6.16059175
2022-09-02,7.854347,6004705.5,6229254.92857143,0.237509887813814,6.0047055
2022-09-03,8.649568,5848819.25,6311720.64285714,0.208604614405662,5.84881925
2022-09-04,12.081241,5692933,6414110.7,0.179699340997509,5.692933
2022-09-05,10.631847,6979095,6517882.56428572,0.418186470280405,6.979095
2022-09-06,7.7479343,7179422,6623036.23571429,0.455332188430883,7.179422
2022-09-07,8.452627,7033208.4,6729571.71428572,0.428220470213335,7.0332084
2022-09-08,11.176055,6886994.8,6837489,0.401108751995787,6.8869948
2022-09-09,14.043094,6740781.2,6810675.71428572,0.37399703377824,6.7407812
2022-09-10,10.735459,6594567.6,6608258.71428572,0.346885315560692,6.5945676
2022-09-11,8.500958,6448354,6331999.37142857,0.319773597343144,6.448354
2022-09-12,9.05112,6791402,6048156.36428571,0.383383416888613,6.791402
2022-09-13,8.699555,5762503,5756729.69285714,0.192599387480154,5.762503
2022-09-14,8.78253,5099393,5457719.35714286,0.0696419370977129,5.099393
2022-09-15,9.671308,4900093.75,5151125.35714286,0.0326867899228359,4.90009375
2022-09-16,9.350388,4700794.5,4775004.07142857,-0.00426835725204114,4.7007945
2022-09-17,10.071627,4501495.25,4549916.92857143,-0.0412235044269182,4.50149525
2022-09-18,9.084597,4302196,4468929.04285714,-0.0781786516017952,4.302196
2022-09-19,10.548639,4158553,4465781.73571429,-0.104813715234202,4.158553
2022-09-20,13.330512,4186893,4540475.00714286,-0.0995587588260063,4.186893
2022-09-21,15.337987,4532477.8,4693008.85714286,-0.0354785520745988,4.5324778
2022-09-22,10.154892,4878062.6,4923383.28571429,0.0286016546768086,4.8780626
2022-09-23,8.073826,5223647.4,5022685.85714286,0.0926818614282162,5.2236474
2022-09-24,11.009093,5569232.2,5061499.57142857,0.156762068179624,5.5692322
2022-09-25,11.869507,5914817,4994503.74285714,0.220842274931031,5.914817
2022-09-26,10.957166,4853671,4918123.12142857,0.0240788319976931,4.853671
2022-09-27,8.097271,4458589,4832357.70714286,-0.0491794138619615,4.458589
2022-09-28,7.0734677,4063507,4737207.5,-0.122437659721616,4.063507
2022-09-29,7.284373,4343398.25,4632672.5,-0.0705387070827562,4.34339825
2022-09-30,8.675188,4623289.5,4853117.64285714,-0.0186397544438963,4.6232895
2022-10-01,10.433896,4903180.75,4855247.78571429,0.0332591981949636,4.90318075
2022-10-02,10.007972,5183072,4826329.5,0.0851581508338235,5.183072
2022-10-03,10.210327,6396787,4749738.92142857,0.310211764700187,6.396787
2022-10-04,7.295961,4473500,4625476.05,-0.0464145354215028,4.4735
2022-10-05,7.0857425,3861079,4453540.88571429,-0.159972956679914,3.861079
2022-10-06,7.4975777,3807264.2,4233933.42857143,-0.169951588582375,3.8072642
2022-10-07,8.259664,3753449.4,3833250.28571429,-0.179930220484836,3.7534494
2022-10-08,7.7578177,3699634.6,3519677.42857143,-0.189908852387297,3.6996346
2022-10-09,8.159359,3645819.8,3461916.57142857,-0.199887484289758,3.6458198
2022-10-10,7.680588,3592005,3386075.42857143,-0.209866116192219,3.592005
2022-10-11,7.9601674,2278490,3292154,-0.453425186993583,2.27849
2022-10-12,9.245963,3456753,3180152.28571429,-0.234945275123808,3.456753
2022-10-13,11.867328,3276376.2,3050070.28571429,-0.268391719056404,3.2763762
2022-10-14,9.226399,3095999.4,2901908,-0.301838162988999,3.0959994
2022-10-15,7.7553296,2915622.6,2729185.14285714,-0.335284606921595,2.9156226
2022-10-16,9.461383,2735245.8,2417450,-0.368731050854191,2.7352458
2022-10-17,9.221776,2554869,2134063.57142857,-0.402177494786786,2.554869
2022-10-18,11.357483,1069430,1879025.85714286,-0.67761564552896,1.06943
2022-10-19,9.216765,1274607,1652336.85714286,-0.639570614090559,1.274607
2022-10-20,8.605374,1292671.2,1453996.57142857,-0.636221052215156,1.2926712
2022-10-21,9.939216,1310735.4,1284005,-0.632871490339753,1.3107354
2022-10-22,14.563774,1328799.6,1346622.42857143,-0.62952192846435,1.3287996
2022-10-23,10.924432,1346863.8,1347083.42857143,-0.626172366588947,1.3468638
2022-10-24,10.849777,1364928,1358899.75714286,-0.622822804713544,1.364928
2022-10-25,9.890735,1507752,1382071.41428571,-0.596339604500274,1.507752
2022-10-26,10.906758,1277834,1416598.4,-0.638972246259605,1.277834
2022-10-27,8.967563,1375385.5,1462480.71428571,-0.620883718381903,1.3753855
2022-10-28,8.103486,1472937,1373755,-0.602795190504202,1.472937
2022-10-29,8.914679,1570488.5,1433659.71428571,-0.5847066626265,1.5704885
2022-10-30,7.880413,1668040,1420598.71428571,-0.566618134748798,1.66804
