Date,avg_wind_speed_m_s,Mean viral gene copies/L,smoothed,zscore
2022-02-07,9.576571,4361033,,5.39117869857814
2022-02-08,7.790661,4061033,,4.93510033970656
2022-02-09,8.085647,4131344,,5.04199142467529
2022-02-10,8.787223,3639579,3693949.57142857,4.29438017750701
2022-02-11,7.838789,3147814,3552234.85714286,3.54676893033873
2022-02-12,6.3170524,3221552.66666667,3436146.85714286,3.65887096393444
2022-02-13,7.7454586,3295291.33333333,3292784,3.77097299753015
2022-02-14,7.197533,3369030,3185460.62857143,3.88307503112585
2022-02-15,19.874514,3248417,3114176.74285714,3.69971176746393
2022-02-16,10.727643,3127804,2998146.1047619,3.516348503802
2022-02-17,9.291492,2888315.4,2837368.71428571,3.15226327828049
2022-02-18,8.838584,2648826.8,2631844.57142857,2.78817805275898
2022-02-19,6.7092805,2409338.2,2425223.28571429,2.42409282723747
2022-02-20,7.097361,2169849.6,2217504.85714286,2.06000760171596
2022-02-21,15.532803,1930361,1975151.08571429,1.69592237619445
2022-02-22,20.889902,1802068,1750847.32857143,1.50088350654541
2022-02-23,21.766676,1673775,1544593.58571429,1.30584463689637
2022-02-24,12.5887,1191839,1339738.21428571,0.573176037025925
2022-02-25,9.316183,1078700.5,1149207.5,0.401175965675283
2022-02-26,8.561119,965562,957116.357142857,0.229175894324641
2022-02-27,9.192328,735862,772270.142857143,-0.120028102451367
2022-02-28,6.5232787,596646,645189.285714286,-0.331672785146921
2022-03-01,7.302501,457430,535282.642857143,-0.543317467842475
2022-03-02,7.839393,379851.5,442550.214285714,-0.661257051054871
2022-03-03,16.43172,302273,383643.642857143,-0.779196634267268
2022-03-04,16.15224,309354,345915.357142857,-0.768431664736703
2022-03-05,22.454851,316435,329365.357142857,-0.757666695206137
2022-03-06,8.8786955,323516,328610.214285714,-0.746901725675572
2022-03-07,8.680346,332548,343649.928571429,-0.733170726551145
2022-03-08,7.4275346,341580,357810.30952381,-0.719439727426717
2022-03-09,11.052968,374565.5,371091.357142857,-0.669293151738189
2022-03-10,11.781428,407551,383493.071428571,-0.61914657604966
2022-03-11,9.007735,408476.666666667,395634.392857143,-0.617739320935675
2022-03-12,8.3233385,409402.333333333,407515.321428571,-0.61633206582169
2022-03-13,9.581334,410328,415713.928571429,-0.614924810707706
2022-03-14,8.886815,417537.25,420230.214285714,-0.603964867678722
2022-03-15,6.421036,424746.5,423643.30952381,-0.593004924649739
2022-03-16,9.20897,431955.75,425953.214285714,-0.582044981620756
2022-03-17,8.543697,439165,427159.928571429,-0.571085038591773
2022-03-18,8.658478,432368.333333333,430469.357142857,-0.581417747188875
2022-03-19,10.944817,425571.666666667,435881.5,-0.591750455785976
2022-03-20,13.006585,418775,443396.357142857,-0.602083164383078
2022-03-21,8.654819,440703.25,453013.928571429,-0.568746496806659
2022-03-22,6.7159953,462631.5,461714.738095238,-0.53540982923024
2022-03-23,7.5217443,484559.75,469498.785714286,-0.50207316165382
2022-03-24,7.8220477,506488,476366.071428571,-0.468736494077401
2022-03-25,7.608803,493274,479875.035714286,-0.488825225524498
2022-03-26,7.5302863,480060,480025.678571429,-0.508913956971595
2022-03-27,10.563743,466846,475079.857142857,-0.529002688418692
2022-03-28,22.857119,465266,465037.571428571,-0.531404701108749
2022-03-29,11.644391,463686,457902.952380952,-0.533806713798806
2022-03-30,7.78356,449939,453676,-0.554705744463498
2022-03-31,14.471915,436192,452356.714285714,-0.57560477512819
2022-04-01,6.704265,443331.666666667,452597.028571429,-0.564750616940779
2022-04-02,7.6214347,450471.333333333,454396.942857143,-0.553896458753367
2022-04-03,10.429705,457611,459494.6,-0.543042300565956
2022-04-04,9.287404,466948.2,467890,-0.528847317724436
2022-04-05,6.845738,476285.4,476599.333333333,-0.514652334882917
2022-04-06,5.726675,485622.6,483494.190476191,-0.500457352041398
2022-04-07,7.21043,494959.8,488574.571428571,-0.486262369199879
2022-04-08,9.205216,504297,491526.542857143,-0.47206738635836
2022-04-09,16.133934,498735.333333333,492593.2,-0.480522572378107
2022-04-10,16.611094,493173.666666667,491774.542857143,-0.488977758397854
2022-04-11,17.838156,487612,493378.142857143,-0.497432944417601
2022-04-12,17.284363,483752,494311.952380952,-0.503301152635082
2022-04-13,11.65651,479892,496704.380952381,-0.509169360852563
2022-04-14,8.650432,506185,500555.428571429,-0.469197133219861
2022-04-15,9.589198,510833.666666667,505944,-0.46212994567228
2022-04-16,12.186509,515482.333333333,512627,-0.455062758124699
2022-04-17,13.544148,520131,517386.571428571,-0.447995570577118
2022-04-18,9.579701,525332,515915.142857143,-0.440088692095481
2022-04-19,9.923922,530533,514394.571428571,-0.432181813613844
2022-04-20,11.417188,513209,512824.857142857,-0.458518818577481
2022-04-21,12.6201515,495885,511206,-0.484855823541119
2022-04-22,18.639942,500189.666666667,509688.321428571,-0.478311605845044
2022-04-23,10.903882,504494.333333333,508271.821428571,-0.471767388148969
2022-04-24,9.395902,508799,510174.357142857,-0.465223170452894
2022-04-25,9.609187,514708.25,515395.928571429,-0.456239566979021
