FY,Wk Start,WkEndActual,Cases,Hospitalization,Deaths,Case Rate (per 100K),Hospitalization Rate (per 100K),Death Rate (per million)
2021-22,2021-07-04,2021-07-10,2304,89,2,69.5,2.7,0.6
2021-22,2021-07-11,2021-07-17,3858,110,7,116.4,3.3,1.7
2021-22,2021-07-18,2021-07-24,5737,231,5,173.0,7.0,1.4
2021-22,2021-07-25,2021-07-31,7276,294,9,219.5,8.9,2.4
2021-22,2021-08-01,2021-08-07,9073,379,16,273.7,11.4,4.0
2021-22,2021-08-08,2021-08-14,9848,453,25,297.0,13.7,6.7
2021-22,2021-08-15,2021-08-21,9486,505,34,286.1,15.2,8.8
2021-22,2021-08-22,2021-08-28,8485,494,50,255.9,14.9,13.3
2021-22,2021-08-29,2021-09-04,7198,384,42,217.1,11.6,10.9
2021-22,2021-09-05,2021-09-11,5515,337,47,166.3,10.2,12.2
2021-22,2021-09-12,2021-09-18,4668,285,55,140.8,8.6,13.5
2021-22,2021-09-19,2021-09-25,3814,213,48,115.0,6.4,12.0
2021-22,2021-09-26,2021-10-02,3688,208,41,111.2,6.3,10.7
2021-22,2021-10-03,2021-10-09,3428,202,44,103.4,6.1,11.2
2021-22,2021-10-10,2021-10-16,3257,197,21,98.2,5.9,5.1
2021-22,2021-10-17,2021-10-23,3628,182,35,109.4,5.5,8.9
2021-22,2021-10-24,2021-10-30,3574,210,23,107.8,6.3,6.1
2021-22,2021-10-31,2021-11-06,3528,205,26,106.4,6.2,6.8
2021-22,2021-11-07,2021-11-13,3433,175,26,103.5,5.3,7.0
2021-22,2021-11-14,2021-11-20,3564,189,22,107.5,5.7,5.5
2021-22,2021-11-21,2021-11-27,3215,158,22,97.0,4.8,5.8
2021-22,2021-11-28,2021-12-04,5399,226,19,162.8,6.8,5.1
2021-22,2021-12-05,2021-12-11,4951,226,32,149.3,6.8,8.6
2021-22,2021-12-12,2021-12-18,6893,230,34,207.9,6.9,8.3
2021-22,2021-12-19,2021-12-25,18898,230,30,570.0,6.9,7.2
2021-22,2021-12-26,2022-01-01,56178,476,31,1694.5,14.4,7.9
2021-22,2022-01-02,2022-01-08,90737,829,51,2760.2,25.2,13.4
2021-22,2022-01-09,2022-01-15,73037,1061,96,2221.8,32.3,24.8
2021-22,2022-01-16,2022-01-22,57119,1091,126,1737.6,33.2,31.9
2021-22,2022-01-23,2022-01-29,31032,1028,120,944.0,31.3,30.0
2021-22,2022-01-30,2022-02-05,16674,722,108,507.2,22.0,27.9
2021-22,2022-02-06,2022-02-12,10113,567,100,307.6,17.2,25.5
