FY,Wk Start,WkEndActual,Cases,Hospitalization,Deaths
2021-22,2021-07-04,2021-07-10,2304,89,2
2021-22,2021-07-11,2021-07-17,3858,110,7
2021-22,2021-07-18,2021-07-24,5737,231,5
2021-22,2021-07-25,2021-07-31,7276,294,9
2021-22,2021-08-01,2021-08-07,9073,379,16
2021-22,2021-08-08,2021-08-14,9848,453,25
2021-22,2021-08-15,2021-08-21,9486,505,34
2021-22,2021-08-22,2021-08-28,8485,494,50
2021-22,2021-08-29,2021-09-04,7198,384,42
2021-22,2021-09-05,2021-09-11,5515,337,47
2021-22,2021-09-12,2021-09-18,4668,285,55
2021-22,2021-09-19,2021-09-25,3814,213,48
2021-22,2021-09-26,2021-10-02,3688,208,41
2021-22,2021-10-03,2021-10-09,3428,202,44
2021-22,2021-10-10,2021-10-16,3257,197,21
2021-22,2021-10-17,2021-10-23,3628,182,35
2021-22,2021-10-24,2021-10-30,3574,210,23
2021-22,2021-10-31,2021-11-06,3528,205,26
2021-22,2021-11-07,2021-11-13,3433,175,26
2021-22,2021-11-14,2021-11-20,3564,189,22
2021-22,2021-11-21,2021-11-27,3215,158,22
2021-22,2021-11-28,2021-12-04,5399,226,19
2021-22,2021-12-05,2021-12-11,4951,226,32
2021-22,2021-12-12,2021-12-18,6893,230,34
2021-22,2021-12-19,2021-12-25,18898,230,30
2021-22,2021-12-26,2022-01-01,56178,476,31
2021-22,2022-01-02,2022-01-08,90737,829,51
2021-22,2022-01-09,2022-01-15,73037,1061,96
2021-22,2022-01-16,2022-01-22,57119,1091,126
2021-22,2022-01-23,2022-01-29,31032,1028,120
2021-22,2022-01-30,2022-02-05,16674,722,108
2021-22,2022-02-06,2022-02-12,10113,567,100
2021-22,2022-02-13,2022-02-19,5812,400,69
2021-22,2022-02-20,2022-02-26,3550,292,44
2021-22,2022-02-27,2022-03-05,2636,219,34
2021-22,2022-03-06,2022-03-12,2118,161,21
2021-22,2022-03-13,2022-03-19,1637,116,14
2021-22,2022-03-20,2022-03-26,1404,97,12
2021-22,2022-03-27,2022-04-02,1613,57,5
2021-22,2022-04-03,2022-04-09,2004,65,7
2021-22,2022-04-10,2022-04-16,2099,61,8
2021-22,2022-04-17,2022-04-23,3066,63,4
2021-22,2022-04-24,2022-04-30,4147,74,4
2021-22,2022-05-01,2022-05-07,5443,81,3
2021-22,2022-05-08,2022-05-14,6741,97,3
2021-22,2022-05-15,2022-05-21,9567,159,5
2021-22,2022-05-22,2022-05-28,10357,188,8
2021-22,2022-05-29,2022-06-04,10605,189,6
2021-22,2022-06-05,2022-06-11,10768,243,14
2021-22,2022-06-12,2022-06-18,10696,241,8
2021-22,2022-06-19,2022-06-25,11098,304,9
2021-22,2022-06-26,2022-07-02,12375,306,10
2022-23,2022-07-03,2022-07-09,13089,349,11
2022-23,2022-07-10,2022-07-16,14582,411,12
2022-23,2022-07-17,2022-07-23,13519,459,17
2022-23,2022-07-24,2022-07-30,10968,391,23
2022-23,2022-07-31,2022-08-06,8468,383,11
2022-23,2022-08-07,2022-08-13,6689,296,14
2022-23,2022-08-14,2022-08-20,5420,311,7
2022-23,2022-08-21,2022-08-27,4534,292,9
2022-23,2022-08-28,2022-09-03,3850,254,17
2022-23,2022-09-04,2022-09-10,3052,255,9
2022-23,2022-09-11,2022-09-17,2947,287,9
2022-23,2022-09-18,2022-09-24,2812,184,6
2022-23,2022-09-25,2022-10-01,2501,146,11
